Name,Dissemination Area ID,"# Households in PRIZM Segment 3: Arts & Affluence, 2019","% Households in PRIZM Segment 3: Arts & Affluence, 2019","# Basics | Total Population, 2021","Households by Income (Current Year) | Median Household Income (Current Year $), 2021","% Household Population 25 to 64 Years by Educational Attainment | Household Population 25 To 64 Years | University Certificate, Diploma Or Degree At Bachelor Level Or Above, 2021","# Total Population of Adults (Age 25-64) in PRIZM Segment 3: Arts & Affluence, 2019","% Total Population of Adults (Age 25-64) in PRIZM Segment 3: Arts & Affluence, 2019","# Total Population in PRIZM Segment 3: Arts & Affluence, 2019","% Total Population in PRIZM Segment 3: Arts & Affluence, 2019"
"DA0119, Orangeville, ON",35220119,0,0.00%,462,"$125,000.00 ",14.44%,0,0.00%,0,0.00%
"DA0119, Toronto, ON",35200119,0,0.00%,318,"$89,566.83 ",28.57%,0,0.00%,0,0.00%
"DA0120, Brampton, ON",35210120,0,0.00%,258,"$94,924.82 ",28.03%,0,0.00%,0,0.00%
"DA0120, Newmarket, ON",35190120,0,0.00%,389,"$168,409.71 ",53.92%,0,0.00%,0,0.00%
"DA0120, Oakville, ON",35240120,0,0.00%,562,"$125,000.00 ",41.14%,0,0.00%,0,0.00%
"DA0120, Orangeville, ON",35220120,0,0.00%,505,"$142,572.21 ",28.81%,0,0.00%,0,0.00%
"DA0120, Toronto, ON",35200120,0,0.00%,"1,255","$85,224.55 ",21.60%,0,0.00%,0,0.00%
"DA0121, Brampton, ON",35210121,0,0.00%,475,"$89,792.18 ",13.81%,0,0.00%,0,0.00%
"DA0121, Newmarket, ON",35190121,0,0.00%,"1,141","$117,936.21 ",45.09%,0,0.00%,0,0.00%
"DA0121, Orangeville, ON",35220121,0,0.00%,557,"$131,618.31 ",20.13%,0,0.00%,0,0.00%
"DA0121, Toronto, ON",35200121,0,0.00%,563,"$78,748.12 ",21.79%,0,0.00%,0,0.00%
"DA0122, Brampton, ON",35210122,0,0.00%,476,"$100,000.00 ",31.14%,0,0.00%,0,0.00%
"DA0122, King, ON",35190122,0,0.00%,712,"$220,843.95 ",43.83%,0,0.00%,0,0.00%
"DA0122, Orangeville, ON",35220122,0,0.00%,809,"$139,421.46 ",28.29%,0,0.00%,0,0.00%
"DA0123, Aurora, ON",35190123,0,0.00%,573,"$296,541.74 ",52.50%,0,0.00%,0,0.00%
"DA0123, Oakville, ON",35240123,0,0.00%,863,"$71,940.69 ",41.52%,0,0.00%,0,0.00%
"DA0123, Orangeville, ON",35220123,0,0.00%,512,"$108,903.37 ",25.99%,0,0.00%,0,0.00%
"DA0123, Toronto, ON",35200123,0,0.00%,"1,083","$82,279.53 ",27.75%,0,0.00%,0,0.00%
"DA0124, Aurora, ON",35190124,0,0.00%,457,"$143,504.60 ",44.53%,0,0.00%,0,0.00%
"DA0124, Brampton, ON",35210124,0,0.00%,720,"$96,522.23 ",9.05%,0,0.00%,0,0.00%
"DA0124, Oakville, ON",35240124,0,0.00%,394,"$56,139.85 ",26.11%,0,0.00%,0,0.00%
"DA0124, Orangeville, ON",35220124,0,0.00%,529,"$107,960.00 ",29.07%,0,0.00%,0,0.00%
"DA0124, Toronto, ON",35200124,0,0.00%,903,"$74,850.78 ",25.58%,0,0.00%,0,0.00%
"DA0125, Aurora, ON",35190125,0,0.00%,216,"$217,513.04 ",41.94%,0,0.00%,0,0.00%
"DA0125, Brampton, ON",35210125,0,0.00%,672,"$73,848.75 ",27.66%,0,0.00%,0,0.00%
"DA0125, Oakville, ON",35240125,0,0.00%,330,"$102,367.22 ",37.36%,0,0.00%,0,0.00%
"DA0125, Orangeville, ON",35220125,0,0.00%,"1,519","$96,229.03 ",26.99%,0,0.00%,0,0.00%
"DA0125, Toronto, ON",35200125,0,0.00%,693,"$76,996.69 ",27.00%,0,0.00%,0,0.00%
"DA0126, Aurora, ON",35190126,0,0.00%,445,"$107,090.19 ",43.19%,0,0.00%,0,0.00%
"DA0126, Oakville, ON",35240126,0,0.00%,487,"$196,458.72 ",65.98%,0,0.00%,0,0.00%
"DA0126, Orangeville, ON",35220126,0,0.00%,564,"$49,186.99 ",35.34%,0,0.00%,0,0.00%
"DA0126, Toronto, ON",35200126,0,0.00%,535,"$94,899.55 ",29.87%,0,0.00%,0,0.00%
"DA0127, Aurora, ON",35190127,0,0.00%,641,"$190,493.31 ",48.39%,0,0.00%,0,0.00%
"DA0127, Oakville, ON",35240127,0,0.00%,484,"$153,596.11 ",49.40%,0,0.00%,0,0.00%
"DA0127, Orangeville, ON",35220127,0,0.00%,394,"$58,082.46 ",9.73%,0,0.00%,0,0.00%
"DA0127, Toronto, ON",35200127,0,0.00%,875,"$78,502.47 ",24.60%,0,0.00%,0,0.00%
"DA0128, Aurora, ON",35190128,0,0.00%,551,"$125,455.00 ",47.85%,0,0.00%,0,0.00%
"DA0128, Oakville, ON",35240128,0,0.00%,743,"$110,685.24 ",46.73%,0,0.00%,0,0.00%
"DA0128, Orangeville, ON",35220128,0,0.00%,460,"$54,950.99 ",8.30%,0,0.00%,0,0.00%
"DA0128, Toronto, ON",35200128,0,0.00%,772,"$78,707.22 ",30.66%,0,0.00%,0,0.00%
"DA0129, Aurora, ON",35190129,0,0.00%,731,"$130,827.07 ",38.10%,0,0.00%,0,0.00%
"DA0129, Mono, ON",35220129,0,0.00%,"1,082","$150,853.66 ",30.14%,0,0.00%,0,0.00%
"DA0129, Oakville, ON",35240129,0,0.00%,501,"$143,743.82 ",49.03%,0,0.00%,0,0.00%
"DA0130, Aurora, ON",35190130,0,0.00%,437,"$47,235.99 ",25.37%,0,0.00%,0,0.00%
"DA0130, Brampton, ON",35210130,0,0.00%,"1,751","$91,971.96 ",18.88%,0,0.00%,0,0.00%
"DA0130, Oakville, ON",35240130,0,0.00%,542,"$160,371.76 ",51.86%,0,0.00%,0,0.00%
"DA0131, Aurora, ON",35190131,0,0.00%,638,"$76,121.63 ",20.11%,0,0.00%,0,0.00%
"DA0131, Brampton, ON",35210131,0,0.00%,760,"$100,294.08 ",35.99%,0,0.00%,0,0.00%
"DA0131, Oakville, ON",35240131,0,0.00%,480,"$144,067.38 ",45.09%,0,0.00%,0,0.00%
"DA0132, Aurora, ON",35190132,0,0.00%,529,"$63,993.38 ",50.52%,0,0.00%,0,0.00%
"DA0132, Brampton, ON",35210132,0,0.00%,570,"$90,688.59 ",15.82%,0,0.00%,0,0.00%
"DA0132, Oakville, ON",35240132,0,0.00%,508,"$126,764.53 ",39.13%,0,0.00%,0,0.00%
"DA0133, Aurora, ON",35190133,0,0.00%,573,"$68,452.44 ",35.39%,0,0.00%,0,0.00%
"DA0133, Brampton, ON",35210133,0,0.00%,807,"$70,990.91 ",16.41%,0,0.00%,0,0.00%
"DA0133, Toronto, ON",35200133,0,0.00%,"1,202","$88,216.67 ",29.12%,0,0.00%,0,0.00%
"DA0134, Oakville, ON",35240134,0,0.00%,549,"$84,317.93 ",46.64%,0,0.00%,0,0.00%
"DA0134, Toronto, ON",35200134,0,0.00%,774,"$98,814.69 ",40.24%,0,0.00%,0,0.00%
"DA0135, Oakville, ON",35240135,0,0.00%,724,"$234,221.17 ",64.52%,0,0.00%,0,0.00%
"DA0135, Toronto, ON",35200135,0,0.00%,517,"$85,977.05 ",27.18%,0,0.00%,0,0.00%
"DA0136, Aurora, ON",35190136,0,0.00%,558,"$76,055.57 ",46.59%,0,0.00%,0,0.00%
"DA0136, Oakville, ON",35240136,0,0.00%,470,"$212,036.84 ",60.47%,0,0.00%,0,0.00%
"DA0136, Toronto, ON",35200136,0,0.00%,495,"$96,754.52 ",25.58%,0,0.00%,0,0.00%
"DA0137, Aurora, ON",35190137,0,0.00%,607,"$142,457.11 ",55.56%,0,0.00%,0,0.00%
"DA0137, Oakville, ON",35240137,0,0.00%,536,"$360,365.30 ",69.11%,0,0.00%,0,0.00%
"DA0137, Toronto, ON",35200137,0,0.00%,648,"$103,648.04 ",36.81%,0,0.00%,0,0.00%
"DA0138, Aurora, ON",35190138,0,0.00%,443,"$95,073.06 ",39.23%,0,0.00%,0,0.00%
"DA0138, Oakville, ON",35240138,0,0.00%,482,"$387,255.45 ",75.32%,0,0.00%,0,0.00%
"DA0138, Toronto, ON",35200138,0,0.00%,299,"$89,712.50 ",18.67%,0,0.00%,0,0.00%
"DA0139, Aurora, ON",35190139,0,0.00%,329,"$100,000.00 ",30.22%,0,0.00%,0,0.00%
"DA0139, Oakville, ON",35240139,0,0.00%,449,"$406,389.91 ",74.89%,0,0.00%,0,0.00%
"DA0139, Toronto, ON",35200139,0,0.00%,392,"$88,787.13 ",33.03%,0,0.00%,0,0.00%
"DA0140, Aurora, ON",35190140,0,0.00%,441,"$86,277.85 ",38.34%,0,0.00%,0,0.00%
"DA0140, Oakville, ON",35240140,0,0.00%,635,"$413,665.14 ",71.04%,0,0.00%,0,0.00%
"DA0140, Toronto, ON",35200140,0,0.00%,404,"$101,451.84 ",16.46%,0,0.00%,0,0.00%
"DA0141, Aurora, ON",35190141,0,0.00%,370,"$90,661.25 ",36.23%,0,0.00%,0,0.00%
"DA0141, Oakville, ON",35240141,0,0.00%,468,"$276,795.76 ",58.29%,0,0.00%,0,0.00%
"DA0141, Toronto, ON",35200141,0,0.00%,597,"$96,702.91 ",27.99%,0,0.00%,0,0.00%
"DA0142, Aurora, ON",35190142,0,0.00%,386,"$124,241.30 ",43.28%,0,0.00%,0,0.00%
"DA0142, Oakville, ON",35240142,0,0.00%,488,"$295,301.03 ",68.89%,0,0.00%,0,0.00%
"DA0142, Toronto, ON",35200142,0,0.00%,458,"$109,737.31 ",32.80%,0,0.00%,0,0.00%
"DA0143, Aurora, ON",35190143,0,0.00%,555,"$73,652.34 ",24.53%,0,0.00%,0,0.00%
"DA0143, Oakville, ON",35240143,0,0.00%,567,"$237,094.69 ",66.79%,0,0.00%,0,0.00%
"DA0143, Toronto, ON",35200143,0,0.00%,801,"$111,568.63 ",39.36%,0,0.00%,0,0.00%
"DA0144, Aurora, ON",35190144,0,0.00%,567,"$96,745.16 ",39.38%,0,0.00%,0,0.00%
"DA0144, Oakville, ON",35240144,0,0.00%,567,"$272,764.31 ",57.79%,0,0.00%,0,0.00%
"DA0144, Toronto, ON",35200144,0,0.00%,618,"$72,878.04 ",38.74%,0,0.00%,0,0.00%
"DA0145, Aurora, ON",35190145,0,0.00%,690,"$87,495.26 ",33.25%,0,0.00%,0,0.00%
"DA0145, Brampton, ON",35210145,0,0.00%,481,"$101,396.65 ",41.90%,0,0.00%,0,0.00%
"DA0145, Oakville, ON",35240145,0,0.00%,554,"$149,024.79 ",67.19%,0,0.00%,0,0.00%
"DA0145, Toronto, ON",35200145,0,0.00%,579,"$77,055.01 ",14.03%,0,0.00%,0,0.00%
"DA0146, Aurora, ON",35190146,0,0.00%,387,"$53,898.87 ",24.88%,0,0.00%,0,0.00%
"DA0146, Brampton, ON",35210146,0,0.00%,547,"$133,988.34 ",51.09%,0,0.00%,0,0.00%
"DA0146, Mono, ON",35220146,0,0.00%,533,"$115,413.99 ",32.61%,0,0.00%,0,0.00%
"DA0146, Oakville, ON",35240146,0,0.00%,525,"$234,424.98 ",69.53%,0,0.00%,0,0.00%
"DA0146, Toronto, ON",35200146,0,0.00%,535,"$69,747.81 ",9.32%,0,0.00%,0,0.00%
"DA0147, Aurora, ON",35190147,0,0.00%,"2,287","$184,539.83 ",46.14%,0,0.00%,0,0.00%
"DA0147, Brampton, ON",35210147,0,0.00%,522,"$172,352.03 ",49.82%,0,0.00%,0,0.00%
"DA0147, Mono, ON",35220147,0,0.00%,653,"$132,142.86 ",20.36%,0,0.00%,0,0.00%
"DA0147, Oakville, ON",35240147,0,0.00%,663,"$281,593.21 ",65.12%,0,0.00%,0,0.00%
"DA0147, Toronto, ON",35200147,0,0.00%,534,"$89,225.18 ",30.23%,0,0.00%,0,0.00%
"DA0148, Aurora, ON",35190148,0,0.00%,363,"$144,628.63 ",40.29%,0,0.00%,0,0.00%
"DA0148, Brampton, ON",35210148,0,0.00%,297,"$109,505.58 ",18.87%,0,0.00%,0,0.00%
"DA0148, Mono, ON",35220148,0,0.00%,627,"$123,877.95 ",30.99%,0,0.00%,0,0.00%
"DA0148, Oakville, ON",35240148,0,0.00%,594,"$281,469.93 ",74.38%,0,0.00%,0,0.00%
"DA0148, Toronto, ON",35200148,0,0.00%,439,"$85,403.90 ",47.35%,0,0.00%,0,0.00%
"DA0149, Aurora, ON",35190149,0,0.00%,513,"$265,981.39 ",43.69%,0,0.00%,0,0.00%
"DA0149, Mono, ON",35220149,0,0.00%,637,"$140,563.07 ",25.22%,0,0.00%,0,0.00%
"DA0149, Toronto, ON",35200149,0,0.00%,401,"$71,997.65 ",32.88%,0,0.00%,0,0.00%
"DA0150, Aurora, ON",35190150,0,0.00%,347,"$170,138.29 ",53.50%,0,0.00%,0,0.00%
"DA0150, Mono, ON",35220150,0,0.00%,609,"$109,188.82 ",33.75%,0,0.00%,0,0.00%
"DA0150, Oakville, ON",35240150,0,0.00%,472,"$130,348.75 ",47.94%,0,0.00%,0,0.00%
"DA0150, Toronto, ON",35200150,0,0.00%,"1,426","$38,645.27 ",16.67%,0,0.00%,0,0.00%
"DA0151, Aurora, ON",35190151,0,0.00%,451,"$162,333.46 ",32.18%,0,0.00%,0,0.00%
"DA0151, Brampton, ON",35210151,0,0.00%,"1,321","$77,663.04 ",20.91%,0,0.00%,0,0.00%
"DA0152, Aurora, ON",35190152,0,0.00%,502,"$104,123.56 ",25.00%,0,0.00%,0,0.00%
"DA0152, Brampton, ON",35210152,0,0.00%,467,"$98,214.95 ",10.95%,0,0.00%,0,0.00%
"DA0152, Oakville, ON",35240152,0,0.00%,548,"$149,342.75 ",51.97%,0,0.00%,0,0.00%
"DA0153, Aurora, ON",35190153,0,0.00%,"1,117","$176,047.36 ",52.09%,0,0.00%,0,0.00%
"DA0153, Brampton, ON",35210153,0,0.00%,639,"$96,806.65 ",14.21%,0,0.00%,0,0.00%
"DA0153, Oakville, ON",35240153,0,0.00%,363,"$181,333.90 ",63.13%,0,0.00%,0,0.00%
"DA0154, Aurora, ON",35190154,0,0.00%,834,"$205,480.09 ",52.56%,0,0.00%,0,0.00%
"DA0154, Brampton, ON",35210154,0,0.00%,301,"$97,270.96 ",17.65%,0,0.00%,0,0.00%
"DA0154, Oakville, ON",35240154,0,0.00%,508,"$175,967.92 ",59.55%,0,0.00%,0,0.00%
"DA0155, Aurora, ON",35190155,0,0.00%,560,"$86,209.42 ",45.97%,0,0.00%,0,0.00%
"DA0155, Brampton, ON",35210155,0,0.00%,557,"$89,115.59 ",9.33%,0,0.00%,0,0.00%
"DA0155, Oakville, ON",35240155,0,0.00%,459,"$137,791.73 ",43.33%,0,0.00%,0,0.00%
"DA0156, Brampton, ON",35210156,0,0.00%,463,"$80,830.02 ",29.89%,0,0.00%,0,0.00%
"DA0156, Oakville, ON",35240156,0,0.00%,609,"$139,180.75 ",54.01%,0,0.00%,0,0.00%
"DA0157, Brampton, ON",35210157,0,0.00%,461,"$87,301.77 ",14.23%,0,0.00%,0,0.00%
"DA0157, King, ON",35190157,0,0.00%,802,"$227,221.73 ",45.48%,0,0.00%,0,0.00%
"DA0157, Oakville, ON",35240157,0,0.00%,470,"$142,666.99 ",60.17%,0,0.00%,0,0.00%
"DA0158, Aurora, ON",35190158,0,0.00%,947,"$279,800.26 ",59.12%,0,0.00%,0,0.00%
"DA0158, Brampton, ON",35210158,0,0.00%,663,"$83,124.61 ",20.98%,0,0.00%,0,0.00%
"DA0158, Oakville, ON",35240158,0,0.00%,439,"$161,482.71 ",43.83%,0,0.00%,0,0.00%
"DA0159, Aurora, ON",35190159,0,0.00%,382,"$266,524.16 ",57.97%,0,0.00%,0,0.00%
"DA0159, Brampton, ON",35210159,0,0.00%,573,"$94,312.03 ",17.43%,0,0.00%,0,0.00%
"DA0159, Oakville, ON",35240159,0,0.00%,401,"$152,474.36 ",55.77%,0,0.00%,0,0.00%
"DA0160, Aurora, ON",35190160,0,0.00%,520,"$307,129.22 ",46.71%,0,0.00%,0,0.00%
"DA0160, Brampton, ON",35210160,0,0.00%,348,"$111,793.37 ",8.99%,0,0.00%,0,0.00%
"DA0160, Oakville, ON",35240160,0,0.00%,664,"$202,039.36 ",57.18%,0,0.00%,0,0.00%
"DA0161, Aurora, ON",35190161,0,0.00%,594,"$160,299.58 ",49.00%,0,0.00%,0,0.00%
"DA0161, Brampton, ON",35210161,0,0.00%,"1,248","$59,564.59 ",28.87%,0,0.00%,0,0.00%
"DA0161, Oakville, ON",35240161,0,0.00%,614,"$138,346.85 ",48.58%,0,0.00%,0,0.00%
"DA0161, Toronto, ON",35200161,0,0.00%,694,"$78,389.80 ",46.56%,0,0.00%,0,0.00%
"DA0162, Aurora, ON",35190162,0,0.00%,"1,550","$97,857.79 ",34.47%,0,0.00%,0,0.00%
"DA0162, Brampton, ON",35210162,0,0.00%,987,"$87,324.21 ",21.00%,0,0.00%,0,0.00%
"DA0162, Oakville, ON",35240162,0,0.00%,485,"$223,727.37 ",57.63%,0,0.00%,0,0.00%
"DA0162, Toronto, ON",35200162,0,0.00%,742,"$86,374.86 ",43.66%,0,0.00%,0,0.00%
"DA0163, Aurora, ON",35190163,0,0.00%,526,"$228,687.13 ",54.84%,0,0.00%,0,0.00%
"DA0163, Brampton, ON",35210163,0,0.00%,478,"$77,976.67 ",20.23%,0,0.00%,0,0.00%
"DA0163, Toronto, ON",35200163,0,0.00%,697,"$120,028.54 ",45.75%,0,0.00%,0,0.00%
"DA0164, Aurora, ON",35190164,0,0.00%,615,"$164,935.73 ",60.06%,0,0.00%,0,0.00%
"DA0164, Brampton, ON",35210164,0,0.00%,914,"$77,832.67 ",15.68%,0,0.00%,0,0.00%
"DA0164, Toronto, ON",35200164,0,0.00%,236,"$100,000.00 ",54.20%,0,0.00%,0,0.00%
"DA0165, Aurora, ON",35190165,0,0.00%,400,"$165,859.11 ",50.45%,0,0.00%,0,0.00%
"DA0165, Brampton, ON",35210165,0,0.00%,475,"$92,542.24 ",19.44%,0,0.00%,0,0.00%
"DA0165, Oakville, ON",35240165,0,0.00%,"1,019","$265,821.50 ",68.40%,0,0.00%,0,0.00%
"DA0165, Toronto, ON",35200165,0,0.00%,536,"$116,796.16 ",41.84%,0,0.00%,0,0.00%
"DA0166, Aurora, ON",35190166,0,0.00%,583,"$175,966.07 ",51.64%,0,0.00%,0,0.00%
"DA0166, Brampton, ON",35210166,0,0.00%,400,"$86,661.71 ",15.31%,0,0.00%,0,0.00%
"DA0166, Oakville, ON",35240166,0,0.00%,401,"$173,223.72 ",49.52%,0,0.00%,0,0.00%
"DA0166, Toronto, ON",35200166,0,0.00%,853,"$103,260.27 ",40.64%,0,0.00%,0,0.00%
"DA0167, Brampton, ON",35210167,0,0.00%,767,"$73,743.93 ",15.33%,0,0.00%,0,0.00%
"DA0167, Oakville, ON",35240167,0,0.00%,453,"$166,427.47 ",56.84%,0,0.00%,0,0.00%
"DA0167, Toronto, ON",35200167,0,0.00%,"1,404","$96,034.48 ",48.16%,0,0.00%,0,0.00%
"DA0168, Brampton, ON",35210168,0,0.00%,"1,432","$77,324.31 ",22.89%,0,0.00%,0,0.00%
"DA0168, King, ON",35190168,0,0.00%,648,"$116,836.56 ",29.86%,0,0.00%,0,0.00%
"DA0168, Oakville, ON",35240168,0,0.00%,723,"$131,962.45 ",36.68%,0,0.00%,0,0.00%
"DA0169, Brampton, ON",35210169,0,0.00%,584,"$121,389.36 ",13.31%,0,0.00%,0,0.00%
"DA0169, Oakville, ON",35240169,0,0.00%,763,"$105,609.24 ",33.55%,0,0.00%,0,0.00%
"DA0170, Brampton, ON",35210170,0,0.00%,674,"$110,642.17 ",13.72%,0,0.00%,0,0.00%
"DA0170, King, ON",35190170,0,0.00%,452,"$90,175.47 ",15.33%,0,0.00%,0,0.00%
"DA0170, Oakville, ON",35240170,0,0.00%,469,"$102,797.87 ",53.88%,0,0.00%,0,0.00%
"DA0171, Brampton, ON",35210171,0,0.00%,643,"$103,017.91 ",13.57%,0,0.00%,0,0.00%
"DA0171, Oakville, ON",35240171,0,0.00%,454,"$187,977.44 ",66.94%,0,0.00%,0,0.00%
"DA0172, Brampton, ON",35210172,0,0.00%,483,"$106,678.79 ",19.06%,0,0.00%,0,0.00%
"DA0172, Oakville, ON",35240172,0,0.00%,461,"$174,669.38 ",57.38%,0,0.00%,0,0.00%
"DA0173, Brampton, ON",35210173,0,0.00%,571,"$89,987.91 ",20.72%,0,0.00%,0,0.00%
"DA0173, Oakville, ON",35240173,0,0.00%,492,"$179,010.25 ",51.18%,0,0.00%,0,0.00%
"DA0173, Toronto, ON",35200173,0,0.00%,392,"$90,261.07 ",37.85%,0,0.00%,0,0.00%
"DA0174, Brampton, ON",35210174,0,0.00%,554,"$88,580.45 ",12.58%,0,0.00%,0,0.00%
"DA0174, Oakville, ON",35240174,0,0.00%,233,"$133,439.05 ",69.42%,0,0.00%,0,0.00%
"DA0174, Toronto, ON",35200174,0,0.00%,627,"$98,282.06 ",35.59%,0,0.00%,0,0.00%
"DA0175, Brampton, ON",35210175,0,0.00%,582,"$111,020.47 ",31.58%,0,0.00%,0,0.00%
"DA0175, King, ON",35190175,0,0.00%,"4,147","$192,078.02 ",41.52%,0,0.00%,0,0.00%
"DA0175, Oakville, ON",35240175,0,0.00%,643,"$152,402.47 ",61.54%,0,0.00%,0,0.00%
"DA0175, Toronto, ON",35200175,0,0.00%,698,"$100,532.42 ",35.24%,0,0.00%,0,0.00%
"DA0176, Brampton, ON",35210176,0,0.00%,"1,447","$62,382.67 ",20.65%,0,0.00%,0,0.00%
"DA0176, King, ON",35190176,0,0.00%,898,"$141,829.55 ",27.72%,0,0.00%,0,0.00%
"DA0176, Oakville, ON",35240176,0,0.00%,406,"$122,547.33 ",39.24%,0,0.00%,0,0.00%
"DA0176, Toronto, ON",35200176,0,0.00%,407,"$97,955.78 ",34.25%,0,0.00%,0,0.00%
"DA0177, Brampton, ON",35210177,0,0.00%,472,"$90,665.02 ",28.21%,0,0.00%,0,0.00%
"DA0177, King, ON",35190177,0,0.00%,351,"$104,916.67 ",29.79%,0,0.00%,0,0.00%
"DA0177, Oakville, ON",35240177,0,0.00%,500,"$132,307.33 ",51.98%,0,0.00%,0,0.00%
"DA0177, Toronto, ON",35200177,0,0.00%,421,"$126,165.35 ",34.98%,0,0.00%,0,0.00%
"DA0178, Brampton, ON",35210178,0,0.00%,520,"$88,028.46 ",23.57%,0,0.00%,0,0.00%
"DA0178, King, ON",35190178,0,0.00%,469,"$144,408.02 ",28.63%,0,0.00%,0,0.00%
"DA0178, Toronto, ON",35200178,0,0.00%,573,"$121,541.17 ",47.92%,0,0.00%,0,0.00%
"DA0179, Brampton, ON",35210179,0,0.00%,680,"$82,807.75 ",24.11%,0,0.00%,0,0.00%
"DA0179, King, ON",35190179,0,0.00%,476,"$146,534.85 ",18.66%,0,0.00%,0,0.00%
"DA0179, Oakville, ON",35240179,0,0.00%,546,"$162,519.02 ",52.03%,0,0.00%,0,0.00%
"DA0179, Toronto, ON",35200179,0,0.00%,643,"$75,889.17 ",53.45%,0,0.00%,0,0.00%
"DA0180, Brampton, ON",35210180,0,0.00%,551,"$92,248.94 ",22.26%,0,0.00%,0,0.00%
"DA0180, King, ON",35190180,0,0.00%,875,"$201,374.67 ",35.29%,0,0.00%,0,0.00%
"DA0180, Oakville, ON",35240180,0,0.00%,287,"$113,774.03 ",57.24%,0,0.00%,0,0.00%
"DA0180, Toronto, ON",35200180,0,0.00%,631,"$76,307.22 ",36.05%,0,0.00%,0,0.00%
"DA0181, Brampton, ON",35210181,0,0.00%,981,"$71,554.52 ",32.92%,0,0.00%,0,0.00%
"DA0181, Oakville, ON",35240181,0,0.00%,633,"$131,866.45 ",53.94%,0,0.00%,0,0.00%
"DA0181, Toronto, ON",35200181,0,0.00%,356,"$71,098.84 ",27.23%,0,0.00%,0,0.00%
"DA0181, Vaughan, ON",35190181,0,0.00%,540,"$123,332.73 ",30.79%,0,0.00%,0,0.00%
"DA0182, Brampton, ON",35210182,0,0.00%,"1,398","$58,506.18 ",27.52%,0,0.00%,0,0.00%
"DA0182, Oakville, ON",35240182,0,0.00%,390,"$171,576.34 ",57.52%,0,0.00%,0,0.00%
"DA0182, Toronto, ON",35200182,0,0.00%,405,"$77,368.42 ",32.43%,0,0.00%,0,0.00%
"DA0182, Vaughan, ON",35190182,0,0.00%,"2,342","$284,602.97 ",42.19%,0,0.00%,0,0.00%
"DA0183, Brampton, ON",35210183,0,0.00%,612,"$86,681.39 ",26.94%,0,0.00%,0,0.00%
"DA0183, Toronto, ON",35200183,0,0.00%,516,"$78,969.31 ",42.16%,0,0.00%,0,0.00%
"DA0183, Vaughan, ON",35190183,0,0.00%,893,"$176,662.05 ",44.83%,0,0.00%,0,0.00%
"DA0184, Oakville, ON",35240184,0,0.00%,"1,085","$100,298.96 ",42.78%,0,0.00%,0,0.00%
"DA0184, Vaughan, ON",35190184,0,0.00%,"1,165","$291,459.65 ",48.26%,0,0.00%,0,0.00%
"DA0186, Brampton, ON",35210186,0,0.00%,304,"$57,452.49 ",12.04%,0,0.00%,0,0.00%
"DA0186, Toronto, ON",35200186,0,0.00%,661,"$76,308.81 ",46.17%,0,0.00%,0,0.00%
"DA0186, Vaughan, ON",35190186,0,0.00%,"1,100","$209,677.54 ",41.96%,0,0.00%,0,0.00%
"DA0187, Brampton, ON",35210187,0,0.00%,426,"$84,387.25 ",43.97%,0,0.00%,0,0.00%
"DA0187, Toronto, ON",35200187,0,0.00%,585,"$73,704.19 ",48.51%,0,0.00%,0,0.00%
"DA0187, Vaughan, ON",35190187,0,0.00%,293,"$211,632.05 ",42.95%,0,0.00%,0,0.00%
"DA0188, Brampton, ON",35210188,0,0.00%,479,"$137,179.17 ",37.98%,0,0.00%,0,0.00%
"DA0188, Oakville, ON",35240188,0,0.00%,527,"$246,874.70 ",63.29%,0,0.00%,0,0.00%
"DA0188, Toronto, ON",35200188,0,0.00%,908,"$70,768.43 ",38.59%,0,0.00%,0,0.00%
"DA0188, Vaughan, ON",35190188,0,0.00%,680,"$236,453.25 ",44.29%,0,0.00%,0,0.00%
"DA0189, Brampton, ON",35210189,0,0.00%,"1,259","$44,064.99 ",9.51%,0,0.00%,0,0.00%
"DA0189, Oakville, ON",35240189,0,0.00%,"1,076","$70,722.90 ",47.01%,0,0.00%,0,0.00%
"DA0189, Toronto, ON",35200189,0,0.00%,478,"$83,465.15 ",49.79%,0,0.00%,0,0.00%
"DA0189, Vaughan, ON",35190189,0,0.00%,627,"$210,219.48 ",54.91%,0,0.00%,0,0.00%
"DA0190, Brampton, ON",35210190,0,0.00%,437,"$65,082.20 ",9.16%,0,0.00%,0,0.00%
"DA0190, Toronto, ON",35200190,0,0.00%,385,"$110,701.44 ",41.38%,0,0.00%,0,0.00%
"DA0191, Brampton, ON",35210191,0,0.00%,322,"$114,408.08 ",17.71%,0,0.00%,0,0.00%
"DA0192, Brampton, ON",35210192,0,0.00%,595,"$107,060.26 ",27.03%,0,0.00%,0,0.00%
"DA0192, Oakville, ON",35240192,0,0.00%,587,"$134,259.26 ",49.69%,0,0.00%,0,0.00%
"DA0192, Vaughan, ON",35190192,0,0.00%,"6,781","$171,448.87 ",45.10%,0,0.00%,0,0.00%
"DA0193, Brampton, ON",35210193,0,0.00%,392,"$163,004.12 ",30.52%,0,0.00%,0,0.00%
"DA0193, Oakville, ON",35240193,0,0.00%,"1,078","$55,754.07 ",42.21%,0,0.00%,0,0.00%
"DA0193, Toronto, ON",35200193,0,0.00%,424,"$92,210.49 ",43.84%,0,0.00%,0,0.00%
"DA0194, Brampton, ON",35210194,0,0.00%,977,"$61,010.97 ",19.35%,0,0.00%,0,0.00%
